ID,Label,Count
Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,10111
PAYDAY 2,PAYDAY 2,7144
Unturned,Unturned,6643
Left 4 Dead 2,Left 4 Dead 2,6467
Garry's Mod,Garry's Mod,5762
Warframe,Warframe,5704
PLAYERUNKNOWN'S BATTLEGROUNDS,PLAYERUNKNOWN'S BATTLEGROUNDS,5378
Paladins - Public Test,Paladins - Public Test,5373
Paladins,Paladins,5310
Grand Theft Auto V,Grand Theft Auto V,5104
Z1 Battle Royale,Z1 Battle Royale,4984
Portal 2,Portal 2,4645
Destiny 2,Destiny 2,4602
Brawlhalla,Brawlhalla,4584
Among Us,Among Us,4558
Tom Clancy's Rainbow Six Siege,Tom Clancy's Rainbow Six Siege,4466
Tom Clancy's Rainbow Six Siege - Test Server,Tom Clancy's Rainbow Six Siege - Test Server,4466
Tomb Raider,Tomb Raider,4451
Wallpaper Engine,Wallpaper Engine,4345
War Thunder,War Thunder,4136
Heroes & Generals,Heroes & Generals,4058
Rust - Staging Branch,Rust - Staging Branch,4045
Rust,Rust,4043
Counter-Strike,Counter-Strike,4038
Rocket League,Rocket League,3975
Terraria,Terraria,3953
Dota 2 Test,Dota 2 Test,3941
Insurgency,Insurgency,3842
Counter-Strike: Condition Zero,Counter-Strike: Condition Zero,3804
Counter-Strike: Condition Zero Deleted Scenes,Counter-Strike: Condition Zero Deleted Scenes,3804
Borderlands 2,Borderlands 2,3615
Deceit,Deceit,3531
Ring of Elysium,Ring of Elysium,3455
Half-Life 2: Lost Coast,Half-Life 2: Lost Coast,3436
Euro Truck Simulator 2,Euro Truck Simulator 2,3413
VRChat,VRChat,3338
Apex Legends,Apex Legends,3233
Company of Heroes 2,Company of Heroes 2,3232
Path of Exile,Path of Exile,3228
Don't Starve Together,Don't Starve Together,3228
For Honor,For Honor,3215
For Honor - Public Test,For Honor - Public Test,3215
Warface,Warface,3187
Life is Strange™,Life is Strange™,3115
Black Squad,Black Squad,3100
Counter-Strike: Source,Counter-Strike: Source,3061
The Forest,The Forest,3042
The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,2996
Robocraft,Robocraft,2935
ARK: Survival Of The Fittest,ARK: Survival Of The Fittest,2809
SMITE,SMITE,2800
SMITE - Public Test,SMITE - Public Test,2798
Dirty Bomb,Dirty Bomb,2783
Dead by Daylight,Dead by Daylight,2779
Trove,Trove,2748
Quake Champions,Quake Champions,2709
Minion Masters,Minion Masters,2696
Portal,Portal,2662
Business Tour - Online Multiplayer Board Game,Business Tour - Online Multiplayer Board Game,2660
Outlast,Outlast,2654
Realm Royale,Realm Royale,2631
Realm Royale - Test Server,Realm Royale - Test Server,2631
Killing Floor Mod: Defence Alliance 2,Killing Floor Mod: Defence Alliance 2,2522
No More Room in Hell,No More Room in Hell,2516
Half-Life 2,Half-Life 2,2486
Amnesia: The Dark Descent,Amnesia: The Dark Descent,2484
The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,2473
Chivalry: Medieval Warfare,Chivalry: Medieval Warfare,2472
PlanetSide 2,PlanetSide 2,2431
PlanetSide 2 - Test,PlanetSide 2 - Test,2431
ARK: Survival Evolved,ARK: Survival Evolved,2426
Total War: SHOGUN 2,Total War: SHOGUN 2,2414
Dying Light,Dying Light,2412
Half-Life 2: Deathmatch,Half-Life 2: Deathmatch,2382
Grand Theft Auto: Vice City,Grand Theft Auto: Vice City,2354
GRID 2,GRID 2,2336
DiRT Rally,DiRT Rally,2309
Aim Lab,Aim Lab,2301
Half-Life,Half-Life,2265
HITMAN™ 2,HITMAN™ 2,2229
SEGA Mega Drive & Genesis Classics,SEGA Mega Drive & Genesis Classics,2206
Just Cause 2,Just Cause 2,2195
Injustice: Gods Among Us Ultimate Edition,Injustice: Gods Among Us Ultimate Edition,2193
Arma 3,Arma 3,2181
The Witcher 2: Assassins of Kings Enhanced Edition,The Witcher 2: Assassins of Kings Enhanced Edition,2142
Just Cause 3,Just Cause 3,2138
Borderlands: The Pre-Sequel,Borderlands: The Pre-Sequel,2138
Grand Theft Auto III,Grand Theft Auto III,2116
Counter-Strike Nexon: Studio,Counter-Strike Nexon: Studio,2115
Totally Accurate Battlegrounds,Totally Accurate Battlegrounds,2109
Battlerite,Battlerite,2107
DiRT 3 Complete Edition,DiRT 3 Complete Edition,2103
Fall Guys: Ultimate Knockout,Fall Guys: Ultimate Knockout,2089
Crusader Kings II,Crusader Kings II,2068
Viscera Cleanup Detail: Shadow Warrior,Viscera Cleanup Detail: Shadow Warrior,2051
Half-Life Deathmatch: Source,Half-Life Deathmatch: Source,2046
Clicker Heroes,Clicker Heroes,2029
Spec Ops: The Line,Spec Ops: The Line,2029
Guns of Icarus Online,Guns of Icarus Online,2020
Half-Life 2: Episode One,Half-Life 2: Episode One,2012
Human: Fall Flat,Human: Fall Flat,2005
Half-Life 2: Episode Two,Half-Life 2: Episode Two,2001
Killing Floor,Killing Floor,1998
CRSED,CRSED,1978
Battlerite Public Test,Battlerite Public Test,1973
Easy eSports,Easy eSports,1971
SCP: Secret Laboratory,SCP: Secret Laboratory,1960
Sid Meier's Civilization V,Sid Meier's Civilization V,1955
Saints Row: The Third,Saints Row: The Third,1950
Saints Row IV,Saints Row IV,1924
Fallout 4,Fallout 4,1913
A Story About My Uncle,A Story About My Uncle,1897
Stardew Valley,Stardew Valley,1889
Fallout Shelter,Fallout Shelter,1882
Grand Theft Auto IV: The Complete Edition,Grand Theft Auto IV: The Complete Edition,1879
BioShock Infinite,BioShock Infinite,1875
Cities: Skylines,Cities: Skylines,1874
Half-Life: Blue Shift,Half-Life: Blue Shift,1858
Amnesia: A Machine for Pigs,Amnesia: A Machine for Pigs,1849
Drawful 2,Drawful 2,1846
Layers of Fear,Layers of Fear,1843
Evolve Stage 2,Evolve Stage 2,1842
The Darkness II,The Darkness II,1830
PAYDAY: The Heist,PAYDAY: The Heist,1824
Left 4 Dead,Left 4 Dead,1817
theHunter Classic,theHunter Classic,1806
Dead Island: Epidemic,Dead Island: Epidemic,1804
The Elder Scrolls V: Skyrim Special Edition,The Elder Scrolls V: Skyrim Special Edition,1801
Black Desert Online,Black Desert Online,1797
The Walking Dead,The Walking Dead,1791
Shadow Warrior,Shadow Warrior,1777
APB Reloaded,APB Reloaded,1770
Lara Croft and the Temple of Osiris,Lara Croft and the Temple of Osiris,1759
Rising Storm/Red Orchestra 2 Multiplayer,Rising Storm/Red Orchestra 2 Multiplayer,1748
LIMBO,LIMBO,1746
Phasmophobia,Phasmophobia,1721
Homefront,Homefront,1718
Saints Row 2,Saints Row 2,1710
Dota Underlords,Dota Underlords,1706
DARK SOULS™ III,DARK SOULS™ III,1702
The Witcher: Enhanced Edition,The Witcher: Enhanced Edition,1679
Castle Crashers,Castle Crashers,1678
Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,1670
AdVenture Capitalist,AdVenture Capitalist,1664
Arma 2,Arma 2,1657
7 Days to Die,7 Days to Die,1653
POSTAL 2,POSTAL 2,1651
Age of Wonders III,Age of Wonders III,1647
Middle-earth™: Shadow of Mordor™,Middle-earth™: Shadow of Mordor™,1629
BioShock,BioShock,1616
BioShock Remastered,BioShock Remastered,1616
Infestation: The New Z,Infestation: The New Z,1612
Kingdom: Classic,Kingdom: Classic,1611
Stick Fight: The Game,Stick Fight: The Game,1602
DOOM,DOOM,1592
Fistful of Frags,Fistful of Frags,1586
The Bureau: XCOM Declassified,The Bureau: XCOM Declassified,1554
Hacknet,Hacknet,1553
GOAT OF DUTY,GOAT OF DUTY,1551
World of Tanks Blitz,World of Tanks Blitz,1548
Cry of Fear,Cry of Fear,1540
